Id,pumpname,xL,yL
1,Broad St,-0.136589075,51.51330218
2,Carnaby St,-0.139529412,51.51382806
3,Marlborough Mews,-0.139642046,51.51486826
4,King St,-0.131546054,51.51230235
5,Upper Rupert St,-0.133518304,51.5120734
6,Bridle St,-0.135854793,51.51147816
7,Tighborne St,-0.133912743,51.5100359
8,Warwick St,-0.138141407,51.51124575
9,Market Pl,-0.139656952,51.5163401
10,East Castle St,-0.137773772,51.51662767
11,Berners St,-0.135897379,51.5160784
12,Newman St,-0.134701533,51.51626905
13,Vigo St,-0.139514102,51.51011035
